編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,資料量,下載次數,主要欄位
91,102年度桃園市各行政區建物買賣移轉棟數統計,380160000A 【地政局】,桃園市政府,地政局,5237,,"年度,月份,行政區代碼,地段代碼,棟數"
92,桃園市珍貴樹木資料,380270000G 【農業局】,桃園市政府,農業局,80,,Sno:樹木編號、town_na:區域、area_location:地址、x:TWD97X座標、tree_na:樹種、age:樹齡、y:TWD97Y座標
93,桃園市有財產統計表,380030000D 【財政局】,桃園市政府,財政局,9,,"項目、土地、土地改良物	房屋建築及設備、機械及設備、交通及運輸設備、雜項設備、有價證券、權利、統計日期區間
"
94,桃園市開放資料瀏覽與下載量統計表,380220000A 【研究發展考核委員會】,桃園市政府,研究發展考核委員會,,,資料集名稱、提供單位、資料集瀏覽次數(自建)、資料瀏覽次數(國發會)、資料瀏覽次數、檔案下載次數(自建)、檔案下載次數(國發會)、檔案下載次數、API介接成功次數、起始日期、結束日期
95,桃園市護理之家一覽表,380140000I 【衛生局】,桃園市政府,衛生局,39,,區域(機構所轄區域)機構名稱(機構設立名稱)開業日期(機構設立開業日期)地址(機構設立地址)開放床數(機構開放床位數)負責護理人員(機構連絡窗口人員)電話(機構連絡電話)103年督考、評鑑結果(103年度本局辦理督導考核及衛生福利部評鑑考核之成績)
96,桃園市政府地方稅務局103年稅務秘書執行成果表,380260000D 【地方稅務局】,桃園市政府,地方稅務局,9,,科室、親臨里長辦公室、下鄉服務、電話服務次數、網路服務次數、宣導諮詢服務人數、受理案件數
97,桃園市政府家庭暴力暨性侵害防治中心,380120000J 【社會局】,桃園市政府,社會局,,,中心名稱、地址、電話、行政傳真、通報單傳真、服務時間
98,農水路更新改善計畫,380160000A 【地政局】,桃園市政府,地政局,,,改善計畫名、鄉鎮、統計量
99,104年度重劃區抵費地標售結果統計表,380160000A 【地政局】,桃園市政府,地政局,8,,"期別、開標日期、鄉鎮市、段、地號、面積(平方公尺)、土地分區使用類別、臨接道路寬度(公尺)、標售單價(元/平方公尺)、標售單價(元/坪)、脫標單價(元/坪)、標售底價(元)、標售金額(元)、高於底價金額(元)、溢價比率(%)
"
100,104年度桃園市都市設計審議委員第2審議會受理審議案件通過/未通過率,380360000G 【都市發展局】,桃園市政府,都市發展局,,,開會次數、審議件數、通過件數、未通過件數、通過率(%)、未通過率(%)
101,桃園中壢區公所路燈資料,380110000G 【工務局】,桃園市政府,工務局,,,"流水號,編號,區域,里,路街,位置,類型,方向,燈別,瓦數,isOldId,X,Y,燈桿形式,高度"
102,桃園市總決算歲出政事別,380200000A 【主計處】,桃園市政府,主計處,,,科目別、預算數、原列決算數、決算審定數實支數、應付數、保留數、合計、決算審定數與預算數之比較增減
103,桃園市火災次數按起火處所分,380320000A 【消防局】,桃園市政府,消防局,,,區域別、客廳、餐廳、臥室、書房、廚房、浴廁、神龕、陽台、庭院、辦公室、教室、倉庫、機房、攤位、工寮、樓梯間、電梯、管道間、走廊、停車場、騎樓下、路邊、墓地、其他
104,104年房屋稅收稅籍數及實徵數─按里別,380260000D 【地方稅務局】,桃園市政府,地方稅務局,495,,"項次,中文區別,中文里名,稅籍戶數,實徵稅額(千元)"
105,桃園市政府各區公有路燈桿懸掛廣告物開放路段表,380150000I 【環境保護局】,桃園市政府,環保局,,,行政區、懸掛路段、連絡電話
106,桃園市立圖書館地址通訊錄,380330000E 【文化局】,桃園市政府,文化局,,,"項次,區,館別,地址,電話"
107,桃園市公私立醫療機構及病床數,380140000I 【衛生局】,桃園市政府,衛生局,,,桃園市各區醫院及診所家數，各院的病床數
108,桃園市景點資料(日),380300000H 【觀光旅遊局】,桃園市政府,觀光旅遊局,80,,Info InfoId(序號)、TYWebsite(導覽網網址)、Name(名稱)、Toldescribe(簡述)、Add(地址)、Zipcode(郵遞區號)、ravellinginfo(交通資訊)、Opentime(開放時間)、Px(X座標)、Py(Y座標)、Website(網站)、Parkinginfo(停車資訊)、Ticketinfo(費用資訊)、Remarks(旅遊叮嚀)、Tel(電話)、Fax(傳真)、Changetime(更新時間)
109,桃園市各都市計畫-細部計畫擬定情形彙整表,380360000G 【都市發展局】,桃園市政府,都市發展局,,,都市計畫名稱、(細部計畫類型)配合主要計畫全區或都市發展用地擬定、(細部計畫類型)配合主要計畫個案變更而擬定
110,桃園市綠色商店,380150000I 【環境保護局】,桃園市政府,環保局,,,"""所謂綠色商品是指產品在原料的取得、產品的製造、銷售、使用及廢棄處理過程中，具有可回收、低污染、省資源等功能或理念。販賣這些綠色商品且在中華民國內合法登記並領有營利事業登記證之商店即可經由申請成為「綠色商店」。"""
111,桃園市A1及A2類道路交通事故件數－按肇事時間別,380130000C 【警察局】,桃園市政府,警察局,,,"year(年度)、breau(區域)、timescale(時段)、count(件數)
"
112,桃園市都市計畫地區種類,380360000G 【都市發展局】,桃園市政府,都市發展局,,,"都市計畫區別	總計		市鎮計畫		鄉街計畫		特定區計畫
"
113,桃園市消防安全設備查察處理,380320000A 【消防局】,桃園市政府,消防局,,,區域別、期底列管家數、檢查件次、檢查合格件次、檢查不合格件次、複查件次、複查不合格件次、違規處理_限期改善件次、違規處理_舉發、違規處理_停業或停止使用、違規處理_處罰鍰件次、違規處理_處罰鍰金額_元、罰鍰收繳件次、罰鍰收繳金額_元、強制執行件次
114,(桃園市)105年食品衛生檢驗收費基準表,380140000I 【衛生局】,桃園市政府,衛生局,23,,"項次,檢驗項目,金額單位

"
115,桃園市政府都市發展局100-104年數值地形圖查詢及申請案件統計一覽表,380360000G 【都市發展局】,桃園市政府,都市發展局,,,"年度	申請案件數	申請總圖幅數
"
116,桃園市住宿資料(英),380300000H 【觀光旅遊局】,桃園市政府,觀光旅遊局,195,,"Info InfoId(序號)、TYWebsite(導覽網網址)、Name(名稱)、Toldescribe(簡述)、Add(地址)、Zipcode(郵遞區號)、Travellinginfo(交通資訊)、Opentime(開放時間)、Px(X座標)、Py(Y座標)、Website(網站)、Parkinginfo(停車資訊)
、Remarks(旅遊叮嚀)、Tel(電話)、Fax(傳真)、Changetime(更新時間)、Charge(定價)"
117,桃園市105年補助辦理青年職涯發展及創業主題活動計畫,380420000A 【青年事務局】,桃園市政府,青年事務局,,,"補助項目	
一、 創業精神、創業知能及職涯發展相關教育課程及工作坊。
二、 主題研討會、座談、講座及論壇活動。
三、 創新創業及育成計畫議題相關提案競賽活動。
四、 創新創業、創客及職涯發展相關議題之國內與國際綜合策展、行銷宣導、媒合對接及徵才、企業博覽會等活動。"
118,桃園市總決算歲入來源別,380200000A 【主計處】,桃園市政府,主計處,,,來源別科目、預算數、原列決算數、決算審定數合計、實收數、應收數、保留數、決算審定數與預算數之比較增減
119,桃園市親子館,380120000J 【社會局】,桃園市政府,社會局,,,館名、地址、聯絡電話、服務時間、服務對象、服務內容
120,桃園市政府消防局人民申請案統計表,380320000A 【消防局】,桃園市政府,消防局,,,人民申請案件業務、案件數、申請年月
121,桃姊妹格子舖服務據點,380120000J 【社會局】,桃園市政府,社會局,,,據點名稱、地址、營業時間
122,桃園市海域安全管理及救援統計,380320000A 【消防局】,桃園市政府,消防局,,,埤塘名稱、警告標示牌、救生圈、WGS84經緯度座標_N、WGS84經緯度座標_E、備註
123,常見問答,380220000A 【研究發展考核委員會】,桃園市政府,研究發展考核委員會,,,"classname(分類名稱)、mserno(分類序號)、serno(序號)、subject(標題)、detailconent(內文)、posterdate(發布日期)、pubunitname(發布單位)
"
124,105年度觀音區新舊建號對照資料,380160000A 【地政局】,桃園市政府,地政局,3779,, 新、舊建號行政區，新、舊地段名稱，新、舊建號 
125,地下水質監測,380150000I 【環境保護局】,桃園市政府,環保局,,,分析項目、地點
126,桃園市大腸直腸癌篩檢確診醫療院所,380140000I 【衛生局】,桃園市政府,衛生局,,,編號、轄區、醫療院所名稱、電話、地址
127,桃園市公民營廢棄物處理機構評鑑A級機構,380150000I 【環境保護局】,桃園市政府,環保局,62,,評鑑年度、機構名稱
128,桃園捷運及高鐵桃園站緊急出口座標,380320000A 【消防局】,桃園市政府,消防局,,,緊急出口名稱、TWD97_X、TWD97_Y
129,桃園低碳永續家園,380150000I 【環境保護局】,桃園市政府,環保局,,,"項次,行政區,空間營造計畫名稱,提案團隊,里長,連絡電話,核定組別,社區聯絡地址,空間營造地址"
130,桃園市日間照顧服務提供單位名冊,380120000J 【社會局】,桃園市政府,社會局,,,"日間照顧中心名稱、受託單位、地址、電話
"
131,桃園市立案公私立幼兒園名冊,380040000E 【教育局】,桃園市政府,教育局,,,桃園市立案公私立幼兒園名冊(可查詢幼兒園名稱、聯絡電話及地址)
132,桃園市各區現住人口性別比例及人口密度,380130000C 【警察局】,桃園市政府,警察局,,,"year(資料統計年度)、field(統計區域)、area(區域面積，單位為平方公里)、residence(戶口數量)、male(男性人數)、female(女性人數)、residence_average(戶量，每戶平均人口數量)、proportion(男女比例，男性人數除以女性人數)、density(人口密度，區域內總人數除以區域面積)
"
133,桃園市政府都市發展104年電子化會議統計表(以桃園市政府都市發展局名義召開),380360000G 【都市發展局】,桃園市政府,都市發展局,,,月份、開會場次、電子化會議場次、比率
134,桃園市醫事人員執業人數,380140000I 【衛生局】,桃園市政府,衛生局,,,桃園市各區醫事人員執業狀況
135,桃園市垃圾車及資源回收車動態資訊,380150000I 【環境保護局】,桃園市政府,環保局,,,"gname(行政區),routing_name(路線名稱),seq(序號),poi_name(清運點名稱),lng(經度),lat(緯度),arrive_time(到達時間),car1(垃圾車車號),car2(資收車車號)"
136,桃園市消防人力性別官等統計表,380320000A 【消防局】,桃園市政府,消防局,,,類別及職等、主管_男、主管_女、非主管_男、非主管_女
137,桃園市火災人員死傷財物損失,380320000A 【消防局】,桃園市政府,消防局,,,區域別、死亡人數_男、死亡人數_女、受傷人數_男、受傷人數_女、死傷原因_自殺、死傷原因_火焰灼燒、死傷原因_有害氣體、死傷原因_跳樓、死傷原因_外物擊中、死傷原因_倒榻物壓到、死傷原因_其他、死傷原因_不明因素、被毀損房間數_間、被毀損車輛數_大型車、被毀損車輛數_小型車、被毀損車輛數_特種車、被毀損車輛數_機車、被毀損車輛數_其他、財物損失情形_房屋_千元、財物損失情形_財_物_千元
138,桃園市最近5年契稅綜合統計表,380260000D 【地方稅務局】,桃園市政府,地方稅務局,5,,"項目,件數_應稅,件數_免稅,契價_應稅,契價_免稅,稅額_應稅,稅額_免稅"
139,桃園市發展遲緩兒童通報轉介中心,380120000J 【社會局】,桃園市政府,社會局,,,中心名稱、委辦單位、服務區、服務內容、服務對象、服務時間
140,桃園市農村再生社區,380270000G 【農業局】,桃園市政府,農業局,19,,行政區、社區、核定社區組織名稱、人口數、社區簡介
141,桃園市消防緊急救護急救處置,380320000A 【消防局】,桃園市政府,消防局,,,區域別、呼吸道處置_口咽呼吸道、呼吸道處置_鼻咽呼吸道、呼吸道處置_抽吸、呼吸道處置_哈姆立克法、呼吸道處置_LMA_ILMA、呼吸道處置_鼻管、呼吸道處置_面罩、呼吸道處置_非再呼吸型面罩、呼吸道處置_BVM、呼吸道處置_其他、創傷處置_頸圈、創傷處置_清洗傷口、創傷處置_包紮止血、創傷處置_夾板固定、創傷處置_長背板固定、創傷處置_KED固定、創傷處置_抽吸式護木、創傷處置_其他、心肺復甦術_CPR、心肺復甦術使用AED_不建議電擊、心肺復甦術使用AED_電擊、藥物處置_靜脈輸液、藥物處置_口服葡萄糖、藥物處置_協助NTG含片、藥物處置_協助支氣管擴張劑、其他處置_保暖、其他處置_心理支持、其他處置_急產接生、其他處置_測量血糖、其他處置_其他、醫療_線上指導醫師簽核
142,105年桃園市病媒蚊密度調查結果,380140000I 【衛生局】,桃園市政府,衛生局,,,"編號
日期
地址
調查地區分類
布氏級數
"
143,桃園市各區公墓資訊,380020000A 【民政局】,桃園市政府,民政局,75,,"編號,設施區域,設施名稱,座落地號或地址,聯絡地址,電話"
144,桃園市施工管理,380110000G 【工務局】,桃園市政府,工務局,11486,,編號 鄉鎮市別 鄉道別 管理單位 管線單位 起 迄 工程名稱 工程地點 申請面積
145,桃園市開放資料瀏覽與下載量統計表-國發會平台,380220000A 【研究發展考核委員會】,桃園市政府,研究發展考核委員會,,,"序號,資料集名稱,上架狀態,服務分類,資料集提供機關,新增瀏覽量,新增下載量,開始日期,結束日期"
146,桃園市102-104年民眾使用線上申辦件數統計表,380260000D 【地方稅務局】,桃園市政府,地方稅務局,5,,申辦管道、線上102年、線上103年、線上104年
147,桃園市立案老人福利機構一覽表,380120000J 【社會局】,桃園市政府,社會局,,,公私立屬性、機構名稱、負責人、地址、電話、收容對象、收容人數、立案日期
148,桃園市就業服務據點,380240000J 【勞動局】,桃園市政府,勞動局,15,,設置地點，地址，聯絡電話，營業時間，簡介
149,桃園市HPV合約醫療院所名單,380140000I 【衛生局】,桃園市政府,衛生局,,,"鄉鎮市區
機構類別
合約醫療院所名稱
十碼代碼
公費疫苗
自費疫苗
接種時間
負責人
洽詢電話
地址"
150,桃園市自來水承裝業業者名單,380170000G 【經濟發展局】,桃園市政府,經濟發展局,,,序號 No.、承裝商名稱 Company Name、營業地址 Address、等級 Level、許可證字號 Licence Number
151,桃園市水務局管轄滯洪設統計資料,380250000G 【水務局】,桃園市政府,水務局,,,"編號,區別,地點(滯洪池座標),面積"
152,桃園市身心障礙者醫療輔具評估機構一覽表,380140000I 【衛生局】,桃園市政府,衛生局,12,,"評估項目(法定提供補助15項目)
機構名稱(12家機構可評估醫療輔具報告書)"
153,河川水質監測,380150000I 【環境保護局】,桃園市政府,環保局,,,河川名稱
154,桃園市福利補助申請資格資訊,380220000A 【研究發展考核委員會】,桃園市政府,研究發展考核委員會,,,"pkid(項目代碼),name(政策名稱),welfareFregi(設籍時間),condition(身份別,身份次類別,年齡條件,問題別)"
155,稅務機關資訊位置表,380260000D 【地方稅務局】,桃園市政府,地方稅務局,12,,項次、機關名稱、地址、電話
156,桃園市政府川堂及府前廣場場地資訊,380010000A 【秘書處】,桃園市政府,秘書處,2,,地點、面積、開放時間、開放借用對象、地址
157,桃園市路燈,380110000G 【工務局】,桃園市政府,工務局,,,"資料庫代碼,開關閥編號,位置X 坐標,位置Y 坐標"
158,桃園市資料開放平台瀏覽量,380220000A 【研究發展考核委員會】,桃園市政府,研究發展考核委員會,399,,日索引、瀏覽量
159,桃園市最近5年地價稅稅源統計表,380260000D 【地方稅務局】,桃園市政府,地方稅務局,5,,"項目,總計_戶數,總計_面積,總計_地價,總計_查定稅額,一般用地_戶數,一般用地_面積,一般用地_地價,一般用地_查定稅額,自用住宅用地_戶數,自用住宅用地_面積,自用住宅用地_地價,自用住宅用地_查定稅額,勞工宿舍用地_戶數,勞工宿舍用地_面積,勞工宿舍用地_地價,勞工宿舍用地_查定稅額,事業直接使用土地_戶數,事業直接使用土地_面積,事業直接使用土地_地價,事業直接使用土地_查定稅額,公共設施保留地_戶數,公共設施保留地_面積,公共設施保留地_地價,公共設施保留地_查定稅額,空地_戶數,空地_面積,空地_地價,空地_查定稅額"
160,桃園市各都市計畫-圖資重置辦理情形彙整表,380360000G 【都市發展局】,桃園市政府,都市發展局,,,編號、都市計畫名稱、計畫圖重製與數值化辦理情形已完成、計畫圖重製與數值化辦理情形重製辦理中、計畫圖重製與數值化辦理情形數值化辦理中/已完成、計畫圖重製與數值化辦理情形未辦理、比例尺、座標系統
161,104年度桃園市政府資訊中心歲入類平衡表,380220000A 【研究發展考核委員會】,桃園市政府,研究發展考核委員會,,,"資產科目,資產科目編號,資產科目金額,負債科目,負債科目編號,負債科目金額
"
162,桃園市列管攤販集中區,380170000G 【經濟發展局】,桃園市政府,經濟發展局,,,"區, 名稱, 地址"
163,桃園中壢區公所104年路燈維修資料,380110000G 【工務局】,桃園市政府,工務局,,,"流水號,流水號路燈,報修日期,民眾路燈編號,區域,里,損壞概況,報修地點,報修來源,廠商路燈編號,損壞地點,故障情形"
164,桃園市各都市計畫-公共設施總面積比例分析表,380360000G 【都市發展局】,桃園市政府,都市發展局,,,編號、都市計畫名稱、公共設施面積公頃、公共設施占計畫區面積之比例、公設占都市發展用地面積比例
165,桃園市景點資料(英),380300000H 【觀光旅遊局】,桃園市政府,觀光旅遊局,110,,Info InfoId(序號)、TYWebsite(導覽網網址)、Name(名稱)、Toldescribe(簡述)、Add(地址)、Zipcode(郵遞區號)、Travellinginfo(交通資訊)、Opentime(開放時間)、Px(X座標)、Py(Y座標)、Website(網站)、Parkinginfo(停車資訊)、Ticketinfo(費用資訊)、Remarks=(旅遊叮嚀)、Tel(電話)、Fax(傳真)、Changetime(更新時間)
166,104年度桃園市政府資訊中心預算資料,380220000A 【研究發展考核委員會】,桃園市政府,研究發展考核委員會,,,"1.104年歲入來源別預算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較、說明及法令依據
2.104年歲出機關別預算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較、說明"
167,桃園市104-105學年度符合補助要件幼兒園清冊,380040000E 【教育局】,桃園市政府,教育局,,,桃園市104學年度符合補助要件幼兒園清冊(可查詢符合補助要件幼兒園名稱、電話及地址)
168,桃園市身心障礙者庇護工場,380240000J 【勞動局】,桃園市政府,勞動局,1,,庇護工場名稱.辦理單位.營業項目.聯絡方式
169,桃園市菸酒進口業者資料一覽表,380030000D 【財政局】,桃園市政府,財政局,115,,進口業者名稱、統一編號、負責人、總機構所在地、進口執照號碼
170,桃園市政府警察局公務人員－按學歷別,380130000C 【警察局】,桃園市政府,警察局,,,"year(年度)、education(學歷)、count(人數)
"
171,桃園市政府住宅發展處職員異動資料統計報表,380360000G 【都市發展局】,桃園市政府,都市發展局,,,"""合
計""	""小
計""	""辭
職""	""免
徹
職""	""解
僱""	""退
休
(職)""	""資
遣""	""死
亡""	""其
他""	""小
計""	""本調
機
關動""	""調
進""	""調
出""	""小
計""	""考分
試發""	""其因
他進
原用""	""小
計""	""出進
國修""	""因停
案職""	""留停
職薪""	""應入
征伍""	""復
職""	""待
命""	""其
他""	""備
註""
"
172,桃園市婦幼館,380120000J 【社會局】,桃園市政府,社會局,,,名稱、地址、借館聯絡人、社會課電話、館舍電話、傳真、館舍運用情形
173,桃園市全市各區清潔隊一覽表,380150000I 【環境保護局】,桃園市政府,環保局,12,,機關名稱、地址、電話
174,桃園市政府衛生局105年抽驗食品合格名單,380140000I 【衛生局】,桃園市政府,衛生局,225,,"編號，抽驗日期，檢體名稱，檢驗項目，抽驗廠商名稱及地址，檢驗結果
"
175,桃園市政府警察局轄區現住人口年齡分配,380130000C 【警察局】,桃園市政府,警察局,,,"year(統計年度)、breau(轄區)、age(年齡)、sex(性別)、count(人數)
"
176,104年度桃園市早餐業餐飲衛生分級評核名單,380140000I 【衛生局】,桃園市政府,衛生局,57,,"編號，早餐輔導業者，地址，查核結果
"
177,桃園市消防栓,380110000G 【工務局】,桃園市政府,工務局,,,"資料庫代碼,開關閥編號,位置X 坐標,位置Y 坐標"
178,桃園市政府藝文設施管理中心所屬場地使用管理要點,380330000E 【文化局】,桃園市政府,文化局,,,"條款(編號),內容(條文)"
179,桃園市田徑場及體育館收費標準表,380410000E 【體育局】,桃園市政府,體育局,10,,收費項目，收費內容
180,桃園市有線廣播電視系統經營者,380180000E 【新聞處】,桃園市政府,新聞處,1,,業者名稱、營業範圍、營業住址、電話及傳真
181,桃園市消防水源統計,380320000A 【消防局】,桃園市政府,消防局,,,區域別、地上式消防栓數、地下式消防栓數
182,桃園市產後護理機構一覽表,380140000I 【衛生局】,桃園市政府,衛生局,14,,編號(排序編號)區域(機構所轄區域)機構名稱(機構設立名稱)開業日期(機構設立開業日期)地址(機構設立地址)負責人(機構設立負責人)連絡電話(機構連絡電話)產後護理床數(機構設立產後護理床數許可床數)嬰兒床數(機構設立嬰兒床數許可床數)103年評鑑、督考成績(103年度衛生福利部辦理機構評鑑及本局辦理督導考核之成績)
183,桃園市政府青年國際志工服務補助作業要點,380420000A 【青年事務局】,桃園市政府,青年事務局,1,,"一、申辦年齡限制：18歲~35歲
二、設籍本市時間限制：無限制
三、身心障礙者：否
四、個人身份：無限制
五、開放申請期間：每年本府公告之申請日期
六、其他限制：未申請本府其他專案經費補助
七、完整說明內容：
      (一)依法立案之本市各級人民團體及財團法人、本市各高中職及大專院校為申請單位。
      (二)團隊成員需6人以上，且成員的三分之一以上領有志願服務紀錄冊。
       (三)應於本府公告之申請日期內申請。
       (四)申請補助金額不得超過總金額之百分之八十，自籌金額應占總金額之百分之二十。"
184,桃園觀新藻礁生態系野生動物保護區,380270000G 【農業局】,桃園市政府,農業局,,,公告分區面積(公頃)
185,航空城都市計畫-附近地區第一期發展區區段徵收面積表,380360000G 【都市發展局】,桃園市政府,都市發展局,,,"項目	第二種住宅區	第三種住宅區	第四種住宅區	第五種住宅區	第五種住宅區_合宜住宅使用	第一種商業區	第二種商業區	第三種商業區	第四種商業區	第三種產業專用區	第四種產業專用區 	車站專用區	宗教專用區	電信專用區	加油站專用區	灌溉設施專用區	農業專用區	河川區	公園用地	綠地用地	廣場用地	停車場用地	文中小用地	文高用地	機關用地	污水處理廠用地	變電所用地	電路鐵塔用地	捷運系統用地	高速公路用地	道路用地
"
186,桃園市各都市計畫人口發展概況表,380360000G 【都市發展局】,桃園市政府,都市發展局,,,編號、都市計畫名稱、計畫人口(人)、現況人口(人)、現況占計畫人口比例(%)
187,桃園市機動車輛分類統計,380130000C 【警察局】,桃園市政府,警察局,,,"year(年度，統計機動車輛之年度)、c_type(車種，登記之機動車輛種類)、c_count(輛數，機動車輛統計數量)
"
188,桃園市公營住宅基地地號及面積表,380360000G 【都市發展局】,桃園市政府,都市發展局,,,"社會住宅,行政區,基地地號,基地面積_m2
"
189,桃園市橋梁資訊,380110000G 【工務局】,桃園市政府,工務局,30,,橋梁名稱、橋梁位置、行政區
190,楊梅區基地坐落地上建物對照資料,380160000A 【地政局】,桃園市政府,地政局,67346,,"建物地段,建號,基地地段,地號"
191,桃園市政府住宅發展處職員年資統計報表,380360000G 【都市發展局】,桃園市政府,都市發展局,,,"合計	五年以下	六至九年	十至十四年	十五至十九年	二十至二十四年	二十五至二十九年	三十年以上	備註
"
192,桃園市政府都市發展局職員年資統計報表,380360000G 【都市發展局】,桃園市政府,都市發展局,,,"合計	五年以下	六至九年	十至十四年	十五至十九年	二十至二十四年	二十五至二十九年	三十年以上	備註
"
193,視覺藝術活動補助要點,380330000E 【文化局】,桃園市政府,文化局,,,視覺藝術活動補助之條文
194,財團法人教育基金會清冊,380040000E 【教育局】,桃園市政府,教育局,,,基金會為桃園市財團法人教育是務基金會類似屬公共資訊及公益性質。
195,桃園市市容查報案件資訊,380220000A 【研究發展考核委員會】,桃園市政府,研究發展考核委員會,113781,,"RE_NO(查報案號),RE_DATE(查報日期),RE_TIME(查報時間),SUBJECT(查報主題),VILLAGE(查報地區),POSITION(查報地點),STATUS(案件狀態),ENDDATE(應辦結日)"
196,桃園市104年度各月公寓大廈管理組織報備數量,380360000G 【都市發展局】,桃園市政府,都市發展局,,,月份、報備件數
197,桃園市環保旅店,380150000I 【環境保護局】,桃園市政府,環保局,55,,旅館管理者著手進行省水、省電及減少固體廢棄物的程序，並利用節省下來的成本，協助保護這唯一的地球。」由於環保旅館的觀念在台灣才剛起步，因此環保署對環保旅館的初步定義是以「顯而易見的廢棄物減量」為主，包括飯店是否推動減少床單、減少毛巾更換頻率、少提供牙膏、牙刷等拋棄式盥洗用具、做資源回收等。
198, 103年各稅稅籍數及實徵稅額統計表-按區別,380260000D 【地方稅務局】,桃園市政府,地方稅務局,13,,"區,地價稅_稅籍戶數,地價稅_實徵稅額(千元),使用牌照稅_車輛數,使用牌照稅_實徵稅額(千元),土地增值稅_收件數,土地增值稅_實徵稅額(千元),契稅_收件數,契稅_實徵稅額(千元)"
199,桃園市社區藥局,380140000I 【衛生局】,桃園市政府,衛生局,,,藥局名稱及地址
200,歷屆桃園市金牌好店資料,380170000G 【經濟發展局】,桃園市政府,經濟發展局,,,"「編號」、「店家」、「電話」、「地址	」		"
201,桃園市居家服務提供單位名冊,380120000J 【社會局】,桃園市政府,社會局,,,"居家服務單位名稱、服務區域、電話、地址
"
202,桃園市有游泳池學校一覽表,380040000E 【教育局】,桃園市政府,教育局,,,教育局體健科提供
203,桃園市子宮頸抹片篩檢確認診斷醫院診所,380140000I 【衛生局】,桃園市政府,衛生局,,,編號、轄區、院所名稱、地址、電話
204,桃園市地方文化館,380330000E 【文化局】,桃園市政府,文化局,6,,館舍簡介、所在縣市、開放時間、館舍地址、連絡方式、文化局對應頁面連結
205,桃園市公文時效統計表(一般公文),380220000A 【研究發展考核委員會】,桃園市政府,研究發展考核委員會,,,"本月份新收件數,截至上月待辦件數,本月創稿數,6日以內辦結(發文統計),7日至30日(含)辦結(發文統計),30日以上辦結(發文統計),存查件數,辦結公文合計,發文平均使用日數,存查平均使用日數,所有公文使用日數,待辦公文件數(待辦公文統計),未逾辦理期限待辦件數(待辦公文統計),,當月已逾辦理期限(待辦公文統計),累計已逾辦理期限件數(待辦公文統計),"
206,桃園市98-104年復查決定書處理資料表,380260000D 【地方稅務局】,桃園市政府,地方稅務局,893,,文號、案名、復查決定
207,桃園市政府地方稅務局102年度歲出決算表,380260000D 【地方稅務局】,桃園市政府,地方稅務局,16,,名稱、預算數、決算數_實現數、決算數_應付數、決算數_保留數、決算數_合 計、比較增減數、剔除經費繳庫數
208,桃園市嫌疑犯人數按年齡組別,380130000C 【警察局】,桃園市政府,警察局,,,"year(年度)、age(年齡)、sex(性別)、p_count(人數)
"
209,桃園市官網徵才資訊,380220000A 【研究發展考核委員會】,桃園市政府,研究發展考核委員會,,,發布單位、發布日期、截止日期、徵才機關、名額、性別、地址、工作地點、工作地點、有效日期、資格條件、工作項目、聯絡資訊
210,桃園市各役政單位聯絡清冊,380020000A 【民政局】,桃園市政府,民政局,14,,"單位,地址,聯絡電話"
211,桃園市各項規費徵收項目及收費基準一覽表,380030000D 【財政局】,桃園市政府,財政局,1279,,機關名稱、規費項目、收費內容、收費基準（單位）、收費基準【費額 (率)】、最近修正日期、訂定機關、法令依據、備註
212,桃園市福利補助申辦項目,380220000A 【研究發展考核委員會】,桃園市政府,研究發展考核委員會,,,政策名稱、承辦機關、承辦單位、政策說明、申請資格-設籍限制、申請資格-身分別、申請資格-身分次類別、申請資格-年齡下限、申請資格-年齡上限、問題別、申請資格、申請方式、申辦流程連結、應備證件連結、線上申辦連結、案件表書下載連結、聯絡窗口、交付方式、處理時間、備註欄
213,桃園市政府地政局區段徵收開發案已標售土地一覽表,380160000A 【地政局】,桃園市政府,地政局,179,,"標售日期,行政區,地段,地號,面積(平方公尺),標售底價(元),得標金額(元)"
214,桃園市A1及A2類道路交通事故統計,380130000C 【警察局】,桃園市政府,警察局,,,"year(年度，交通事故發生年度)、breau(轄區，交通事故發生轄區)、type(交通事故種類，A1代表死亡交通事故、A2代表受傷但無死亡之交通事故)、class(傷亡種類，交通事故死亡或受傷)、p_count(人數，交通事故人數統計)
"
215,龍潭航空噪音防制區,380150000I 【環境保護局】,桃園市政府,環保局,,,"防制區,區,里"
216,105年度八德區新舊建號對照資料,380160000A 【地政局】,桃園市政府,地政局,44194,,新、舊建號行政區，新、舊地段名稱，新、舊建號 
217,桃園市青年諮詢委員會設置要點,380420000A 【青年事務局】,桃園市政府,青年事務局,,," 本會之任務如下： 
（一） 提供青年政策建言平台，蒐集並了解青年意見。 
（二） 建立多元管道培力人才，增進青年公共參與能力。 
（三） 研析青年關心議題並提出政策及建議。 
（四） 推動各項青年發展事項。 
"
